Objects;V;S;R;G;d;W1;W2;W3;W4;W5;W6;W7;W8;D1;D2;D3;D4;D5;D6;D7;D8;WO1;WO2;WO3;WO4;WO5;WO6;WN1;WN2;WN3;WN4;WN5;WN6;IW1;IW2;IW3;IW4;CW1;CW2;CW3;CW4;CW5;CW6;CW7;CW8;ID1;ID2;ID3;ID4;CD1;CD2;CD3;CD4;CD5;CD6;CD7;CD8;HL1;HL2;A;CP;POL;MW;FLEX;FLEX_RB;NCC;DIFF;SE;SE0;SE1;LOGP n-Oct;LOGP c-Hex;PSA;HSA;PSAR;PHSAR;LgD5;LgD6;LgD7;LgD7.5;LgD8;LgD9;LgD10;AUS7.4;%FU4;%FU5;%FU6;%FU7;%FU8;%FU9;%FU10;SOLY;LgS3;LgS4;LgS5;LgS6;LgS7;LgS7.5;LgS8;LgS9;LgS10;LgS11;MpKaA;mpKaB;PB;VD;CACO2;SKIN;MetStab;HTSflag;C1;C2;C3;C4;C5;P1;P2;P3;P4;P5;EMDIF;EMDIS;Sdry/S;Spol/S;FLEX_PT;PAINS;CUSTOM
4-carboxybiphenyl_c2;492.75;351.613;1.4014;1.25818;0.400222;938.125;558.625;299.5;151.5;88.25;52.75;29.0;10.125;207.875;113.5;37.125;22.375;15.75;9.625;6.25;3.0;0.0;0.0;0.0;0.0;0.0;0.0;362.875;177.875;108.5;61.5;33.375;9.0;0.249112;0.82362;1.60039;2.20035;2.66806;1.58875;0.851789;0.430872;0.250986;0.150023;0.0824771;0.0287959;0.108714;0.171789;0.208096;0.279955;0.591204;0.322798;0.105585;0.0636353;0.0447936;0.0273739;0.0177752;0.00853211;2.3771;2.35754;7.84168;0.606757;21.145;197.209;0.182804;0.091402;1;0.703418;12.0;12.0;0.0;3.57718;1.333;46.12;305.493;0.131167;0.150969;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.04896;-2.01138;-1.76938;-1.04839;-0.100178;0.798554;1.12774;1.32084;1.43612;1.44953;1.45089;4.04375;;69.9839;-0.221509;0.295201;-1.70931;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95865;0.648968;0.351032;0.491403;0;
4-carboxybiphenyl_c3;493.25;352.791;1.39813;1.26323;0.399816;941.5;569.125;303.5;152.25;89.375;55.875;29.0;10.375;204.75;111.375;36.75;22.25;14.875;8.125;5.375;2.75;0.0;0.0;0.0;0.0;0.0;0.0;369.125;183.875;110.5;61.125;34.0;9.0;0.249471;0.815653;1.58342;2.1973;2.66872;1.61321;0.860282;0.431558;0.253337;0.15838;0.0822015;0.0294083;0.111361;0.177382;0.224535;0.295091;0.580371;0.315696;0.104169;0.0630684;0.0421637;0.0230306;0.0152356;0.00779497;2.43197;2.51124;7.91529;0.563928;21.145;197.209;0.172788;0.0863942;1;0.702745;12.0;12.0;0.0;3.57718;1.333;46.12;306.671;0.130729;0.150389;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.0383;-2.00072;-1.75872;-1.03774;-0.0895226;0.809209;1.13839;1.33149;1.44677;1.46018;1.46154;4.04375;;68.9099;-0.226218;0.289165;-1.72211;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95688;0.644378;0.355622;0.491403;0;
4-carboxybiphenyl_c4;492.75;351.999;1.39986;1.26026;0.400222;947.375;571.0;306.125;151.125;89.25;55.625;30.125;10.625;202.0;111.0;35.25;21.75;15.375;8.5;5.125;3.25;0.0;0.0;0.0;0.0;0.0;0.0;371.875;184.5;109.875;61.875;32.5;9.375;0.247178;0.809813;1.57768;2.16599;2.69141;1.62216;0.869675;0.429333;0.253552;0.158026;0.0855825;0.0301847;0.112183;0.180595;0.225528;0.325017;0.573865;0.315341;0.100142;0.0617899;0.043679;0.0241478;0.0145597;0.00923297;2.53191;2.55747;7.87434;0.545928;21.145;197.209;0.182618;0.0913088;1;0.698168;12.0;12.0;0.0;3.57718;1.333;46.12;305.879;0.131023;0.150778;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.04758;-2.01;-1.768;-1.04702;-0.0988011;0.799931;1.12911;1.32221;1.43749;1.4509;1.45227;4.04375;;68.4709;-0.212595;0.290109;-1.7333;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95659;0.642978;0.357022;0.491403;0;
4-carboxybiphenyl_c5;492.625;351.307;1.40226;1.25686;0.400323;938.5;560.125;299.375;154.5;90.5;55.125;29.0;9.625;206.625;113.125;37.875;22.0;15.875;10.0;6.875;3.75;0.0;0.0;0.0;0.0;0.0;0.0;361.875;180.0;109.0;62.0;34.25;8.75;0.254349;0.836186;1.59843;2.22475;2.67145;1.5944;0.852174;0.439786;0.257609;0.156914;0.0825488;0.0273977;0.10762;0.167632;0.210809;0.267585;0.58816;0.322012;0.107812;0.0626232;0.0451884;0.0284651;0.0195698;0.0106744;2.38944;2.50568;7.79715;0.624196;21.145;197.209;0.180752;0.0903761;1;0.704224;12.0;12.0;0.0;3.57718;1.333;46.12;305.187;0.131281;0.15112;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.03626;-1.99868;-1.75668;-1.0357;-0.0874801;0.811252;1.14043;1.33353;1.44881;1.46222;1.46359;4.04375;;69.83;-0.217067;0.287267;-1.74035;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95881;0.643105;0.356895;0.491403;0;
4-carboxybiphenyl_c6;494.5;351.462;1.40698;1.25292;0.398805;934.5;561.75;302.0;154.75;89.75;54.5;27.625;10.0;207.125;111.25;37.75;21.875;16.0;10.125;6.625;3.375;0.0;0.0;0.0;0.0;0.0;0.0;362.25;181.25;107.625;61.625;34.5;8.875;0.245865;0.809443;1.56386;2.17687;2.6589;1.59833;0.859269;0.440304;0.255362;0.155067;0.0786003;0.0284526;0.110055;0.178483;0.217415;0.290233;0.589325;0.316535;0.107409;0.0622401;0.0455242;0.0288083;0.0188499;0.00960276;2.37748;2.49143;7.89376;0.581362;21.145;197.209;0.172352;0.0861758;1;0.698811;12.0;12.0;0.0;3.57718;1.333;46.12;305.342;0.131223;0.151044;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.05751;-2.01993;-1.77793;-1.05695;-0.108732;0.79;1.11918;1.31228;1.42756;1.44097;1.44234;4.04375;;69.9444;-0.197045;0.298729;-1.74109;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95655;0.643288;0.356712;0.491403;0;
4-carboxybiphenyl_c7;494.375;352.167;1.40381;1.25701;0.398906;935.0;561.125;301.5;153.875;89.625;52.375;27.625;9.75;206.0;111.75;38.375;22.125;16.625;9.375;6.0;3.25;0.0;0.0;0.0;0.0;0.0;0.0;363.25;180.625;108.375;63.0;34.125;9.125;0.247852;0.815918;1.57688;2.19875;2.65499;1.59335;0.856129;0.436938;0.254496;0.148722;0.078443;0.0276857;0.10962;0.172572;0.209677;0.280695;0.58495;0.317321;0.108968;0.0628254;0.0472078;0.0266209;0.0170374;0.00922858;2.3355;2.36723;7.87061;0.604682;21.145;197.209;0.171682;0.0858409;1;0.70149;12.0;12.0;0.0;3.57718;1.333;46.12;306.047;0.130961;0.150696;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.04413;-2.00655;-1.76455;-1.04357;-0.0953507;0.803381;1.13256;1.32566;1.44094;1.45435;1.45572;4.04375;;70.2208;-0.216171;0.299589;-1.71788;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95728;0.64334;0.35666;0.491403;0;
4-carboxybiphenyl_c8;493.375;350.788;1.40648;1.25217;0.399715;938.25;561.25;302.0;153.875;90.375;54.5;28.125;10.125;207.625;111.375;36.875;21.875;15.5;9.75;6.5;3.625;0.0;0.0;0.0;0.0;0.0;0.0;361.75;182.0;108.375;61.25;33.875;8.875;0.250901;0.822012;1.58787;2.20739;2.6747;1.59997;0.86092;0.438656;0.257635;0.155365;0.0801767;0.0288636;0.107779;0.168613;0.210889;0.291945;0.591882;0.3175;0.105121;0.0623597;0.0441863;0.0277946;0.0185297;0.0103339;2.45085;2.49143;7.7864;0.602531;21.145;197.209;0.182005;0.0910026;1;0.70279;12.0;12.0;0.0;3.57718;1.333;46.12;304.668;0.131476;0.151378;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.05264;-2.01506;-1.77306;-1.05208;-0.103861;0.794871;1.12405;1.31715;1.43243;1.44584;1.44721;4.04375;;69.6207;-0.210613;0.290295;-1.73433;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.95552;0.645141;0.354859;0.491403;0;
4-carboxybiphenyl_c9;495.125;352.902;1.40301;1.25904;0.398302;935.25;561.375;305.625;157.75;92.625;57.75;30.375;10.75;200.625;109.375;33.125;21.25;14.75;8.0;5.0;2.875;0.0;0.0;0.0;0.0;0.0;0.0;363.25;189.875;113.375;65.375;34.125;9.75;0.245066;0.798315;1.52134;2.08382;2.65017;1.59074;0.866035;0.447009;0.262467;0.163643;0.0860722;0.0304618;0.112779;0.194416;0.229674;0.337573;0.568501;0.309931;0.0938647;0.0602151;0.0417964;0.0226692;0.0141683;0.00814675;2.79623;2.71765;7.92116;0.462656;21.145;197.209;0.172476;0.0862382;1;0.691336;12.0;12.0;0.0;3.57718;1.333;46.12;306.782;0.130688;0.150335;2.57661;1.6284;0.729664;0.400482;0.207381;0.0921017;0.0786926;0.0;52.5164;9.95852;1.09389;0.110477;0.0110587;0.00110598;0.000110599;-2.0494;-2.01182;-1.76982;-1.04884;-0.100623;0.798109;1.12729;1.32039;1.43567;1.44908;1.45044;4.04375;;67.0672;-0.199504;0.292066;-1.74845;100.0;0;0.0;0.0;0.2;0.6;0;0;0.0;0.0;0.0;0.0;7.08841;4.94856;0.631482;0.368518;0.491403;0;
4-chlorobenzotrifluoride_c0;365.5;268.667;1.36042;1.13294;0.493993;779.875;495.5;267.75;123.0;42.75;0.0;0.0;0.0;148.75;65.75;31.5;17.5;6.625;4.25;1.75;0.75;0.0;0.0;0.0;0.0;0.0;0.0;324.625;139.25;43.25;0.25;0.0;0.0;0.177346;0.546236;0.910483;0.0;2.90275;1.84429;0.996586;0.457815;0.159119;0.0;0.0;0.0;0.15709;0.240656;0.272806;0.422366;0.553659;0.244727;0.117245;0.0651363;0.0246588;0.0158188;0.00651363;0.00279156;1.35714;0.0;6.03744;0.704317;13.924;180.555;0.14385;0.14385;0;0.901899;3.65453;3.65453;0.0;3.62507;3.832;5.1;263.567;0.0189826;0.0193499;3.62507;3.62507;3.62507;3.62507;3.62507;3.62507;3.62507;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;-2.68762;;;78.8735;0.410564;1.41255;-1.68095;70.7277;0;0.0909091;0.0909091;0.0909091;0.363636;0;0;0.0;0.0;0.0;0.0;4.34776;1.35898;0.619691;0.380309;0.116082;0;
4-chlorobenzotrifluoride_c1;361.5;267.84;1.34969;1.14019;0.499459;791.25;501.125;268.875;122.375;43.25;0.0;0.0;0.0;150.0;64.25;30.625;17.0;5.625;2.375;0.875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;325.0;139.0;45.5;0.0;0.0;0.0;0.187994;0.5675;0.942419;0.0;2.95419;1.87099;1.00386;0.456896;0.161477;0.0;0.0;0.0;0.152432;0.233361;0.222329;0.273296;0.560036;0.239882;0.114341;0.0634707;0.0210013;0.00886723;0.00326688;0.0;1.41224;0.0;6.08071;0.690555;13.924;180.555;0.147986;0.147986;0;0.917227;3.65453;3.65453;0.0;3.62507;3.832;5.1;262.74;0.0190412;0.0194108;3.62507;3.62507;3.62507;3.62507;3.62507;3.62507;3.62507;2.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;-2.62856;;;78.7901;0.344708;1.37082;-1.64375;70.9019;0;0.0909091;0.0909091;0.0909091;0.363636;0;0;0.0;0.0;0.0;0.0;4.34776;1.35892;0.622858;0.377142;0.116082;0;
